location,size,total_sqft,bath,price,BHK
Harlur,2 BHK,1174.0,2.0,76.0,2.0
Old Madras Road,3 BHK,1350.0,3.0,58.99,3.0
Frazer Town,3 BHK,1870.0,3.0,185.0,3.0
Kengeri Satellite Town,2 BHK,1072.0,2.0,25.0,2.0
Nelamangala,3 Bedroom,52272.0,2.0,140.0,3.0
Kengeri,2 BHK,726.0,2.0,31.0,2.0
Hosur Road,2 BHK,1345.0,2.0,106.0,2.0
Begur Road,2 BHK,1200.0,2.0,45.0,2.0
Nagavarapalya,2 BHK,980.0,2.0,37.0,2.0
Hormavu,2 BHK,1050.0,2.0,77.0,2.0
Uttarahalli,2 BHK,993.0,2.0,39.71,2.0
7th Phase JP Nagar,3 BHK,1300.0,2.0,52.0,3.0
Vittasandra,3 BHK,1743.0,3.0,85.0,3.0
Whitefield,4 Bedroom,1204.0,4.0,125.0,4.0
Hormavu,2 Bedroom,1200.0,2.0,67.0,2.0
2nd Block Hrbr Layout,3 BHK,1480.0,3.0,90.0,3.0
Sarjapur,2 BHK,950.0,2.0,32.5,2.0
Domlur,1 BHK,640.0,1.0,55.0,1.0
Electronic City Phase II,2 BHK,972.0,2.0,44.0,2.0
Marathahalli,3 BHK,1840.0,3.0,98.0,3.0
Electronic City,2 BHK,1128.0,2.0,64.0,2.0
Hongasandra,2 Bedroom,680.0,2.0,42.0,2.0
Harappanahalli,2 Bedroom,2400.0,2.0,95.0,2.0
Basapura,2 BHK,1045.0,2.0,42.0,2.0
Roopena Agrahara,2 BHK,955.0,2.0,53.55,2.0
Doddakallasandra,3 BHK,1360.0,2.0,54.39,3.0
BTM Layout,2 BHK,1150.0,2.0,63.0,2.0
Hennur Road,4 Bedroom,3450.0,4.0,294.0,4.0
Chennammana Kere,2 BHK,1115.0,2.0,56.87,2.0
Jigani,2 BHK,920.0,2.0,46.0,2.0
Bommasandra Industrial Area,2 BHK,1030.0,2.0,41.0,2.0
Thanisandra,3 BHK,1564.0,3.0,101.0,3.0
Uttarahalli,2 BHK,1045.0,2.0,45.0,2.0
Hegde Nagar,4 Bedroom,1200.0,4.0,83.0,4.0
Subramanyapura,2 BHK,1277.0,2.0,55.0,2.0
Kanaka Nagar,3 BHK,2479.13,3.0,215.0,3.0
Sarjapur  Road,3 BHK,1846.0,3.0,140.0,3.0
Tasker Town,2 BHK,1100.0,2.0,106.0,2.0
Govindpura,3 BHK,1690.0,3.0,75.0,3.0
Hormavu,2 Bedroom,1200.0,3.0,70.0,2.0
Yelahanka,4 Bedroom,3042.0,4.0,131.0,4.0
Rajaji Nagar,3 BHK,1640.0,3.0,223.0,3.0
NR Colony,2 BHK,1068.0,2.0,40.05,2.0
Kanakpura Road,2 BHK,1135.0,2.0,58.0,2.0
Agara Village,3 BHK,1925.0,3.0,120.0,3.0
Begur Road,3 BHK,1615.0,3.0,60.0,3.0
Shettigere,1 BHK,650.0,1.0,26.0,1.0
Chikkasandra,9 Bedroom,1200.0,9.0,120.0,9.0
Kaggadasapura,2 BHK,1150.0,2.0,42.0,2.0
Kothannur,6 Bedroom,930.0,6.0,135.0,6.0
Kenchanehalli R R Nagar,3 BHK,1410.0,2.0,45.12,3.0
6th Phase JP Nagar,3 Bedroom,600.0,2.0,100.0,3.0
Kumara Park,3 BHK,2000.0,3.0,207.0,3.0
Tumkur Road,3 BHK,1354.0,3.0,90.0,3.0
BEL Road,2 Bedroom,1050.0,2.0,110.0,2.0
Arekere,1 BHK,600.0,1.0,28.0,1.0
Varthur,4 Bedroom,1320.0,2.0,110.0,4.0
Koramangala,3 BHK,1600.0,3.0,88.0,3.0
Kanakpura Road,4 Bedroom,3500.0,6.0,225.0,4.0
GM Palaya,2 BHK,1000.0,2.0,36.0,2.0
Byagadadhenahalli,3 BHK,1130.0,3.0,38.0,3.0
Vittasandra,2 BHK,1238.0,2.0,67.0,2.0
Ashwathnagar,3 BHK,2204.0,2.0,305.0,3.0
KR Puram,8 Bedroom,1200.0,12.0,110.0,8.0
Kudlu Gate,3 BHK,1364.0,2.0,46.38,3.0
Srinivasa Nagar,2 BHK,900.0,2.0,45.0,2.0
Gubbalala,3 BHK,1745.0,3.0,104.0,3.0
Kogilu,2 BHK,1200.0,2.0,53.33,2.0
Kanakapura,2 BHK,1020.0,2.0,42.83,2.0
Banashankari Stage III,3 BHK,1650.0,3.0,118.0,3.0
Doddabommasandra,3 BHK,1550.0,2.0,70.0,3.0
5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2.0
Sarjapura - Attibele Road,3 BHK,1329.0,2.0,45.95,3.0
Maruthi Layout,2 BHK,916.0,2.0,42.0,2.0
Hulimavu,1 BHK,688.0,1.0,50.0,1.0
Sree Narayana Nagar,3 BHK,1358.0,3.0,50.0,3.0
Kanakpura Road,2 BHK,1331.0,2.0,107.0,2.0
Malleshwaram,1 BHK,686.0,1.0,62.5,1.0
Hoodi,2 BHK,1050.0,2.0,50.0,2.0
Talaghattapura,3 BHK,2106.0,3.0,126.0,3.0
Bhoganhalli,3 BHK,1718.0,3.0,90.2,3.0
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,57.0,3.0
5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2.0
Hebbal,2 BHK,1075.0,2.0,52.0,2.0
Sarjapur  Road,3 Bedroom,1200.0,3.0,95.0,3.0
Tunganagara,3 BHK,1936.0,2.0,54.21,3.0
Nagavara,4 BHK,2172.65,3.0,120.0,4.0
Sahakara Nagar,3 BHK,1100.0,2.0,75.0,3.0
BTM 2nd Stage,3 Bedroom,1260.0,5.0,185.0,3.0
Hongasandra,8 Bedroom,990.0,12.0,120.0,8.0
Jalahalli East,3 Bedroom,800.0,2.0,80.0,3.0
Sarjapur  Road,2 BHK,1117.0,2.0,29.99,2.0
Remco Bhel Layout,3 BHK,1685.0,2.0,110.0,3.0
CV Raman Nagar,2 BHK,740.0,2.0,37.0,2.0
Chamrajpet,4 Bedroom,1080.0,4.0,250.0,4.0
Magadi Road,4 Bedroom,1500.0,2.0,93.0,4.0
Banashankari,3 BHK,1800.0,3.0,115.0,3.0
Yelachenahalli,3 BHK,1700.0,3.0,130.0,3.0
Uttarahalli,2 BHK,850.0,2.0,37.93,2.0
Hennur Road,3 BHK,1891.0,3.0,139.0,3.0
Jalahalli,2 BHK,1400.0,1.0,80.0,2.0
Lakshminarayana Pura,2 BHK,1172.0,2.0,82.0,2.0
Electronic City Phase II,3 BHK,1400.0,2.0,40.43,3.0
Sonnenahalli,2 BHK,896.0,2.0,43.75,2.0
Vijayanagar,2 BHK,1180.0,2.0,65.0,2.0
Basaveshwara Nagar,7 Bedroom,2460.0,7.0,350.0,7.0
Chokkasandra,2 BHK,850.0,2.0,33.0,2.0
Anekal,1 BHK,530.0,1.0,18.0,1.0
2nd Block Hrbr Layout,3 BHK,1550.0,3.0,110.0,3.0
Kanakapura,3 BHK,1699.0,3.0,97.0,3.0
Bellandur,4 BHK,2025.0,4.0,109.0,4.0
Ananth Nagar,1 BHK,500.0,2.0,14.0,1.0
Panduranga Nagar,1 BHK,500.0,1.0,20.0,1.0
Sri Venkateshpura Layout,2 BHK,1146.0,2.0,38.5,2.0
Malleshwaram,3 BHK,2475.0,4.0,332.0,3.0
Haralur Road,2 BHK,1455.0,2.0,145.0,2.0
Seegehalli,2 Bedroom,800.0,1.0,50.0,2.0
Abbigere,1 BHK,765.0,2.0,30.0,1.0
Lingadheeranahalli,3 BHK,1521.0,3.0,94.99,3.0
Gottigere,3 BHK,1600.0,2.0,55.0,3.0
Byadarahalli,3 BHK,3155.0,4.0,370.0,3.0
Hebbal Kempapura,3 BHK,2900.0,4.0,240.0,3.0
Jakkur Plantation,3 BHK,1765.0,3.0,105.0,3.0
Kasavanhalli,3 BHK,1980.0,3.0,88.0,3.0
Amruthahalli,3 Bedroom,1900.0,3.0,135.0,3.0
Kaverappa Layout,2 BHK,1265.0,2.0,70.0,2.0
Bommasandra,2 BHK,1034.0,2.0,40.0,2.0
Kaverappa Layout,2 BHK,1012.0,2.0,59.0,2.0
Electronic City,2 BHK,1070.0,2.0,54.0,2.0
Mahadevpura,4 Bedroom,3555.0,4.0,230.0,4.0
5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3.0
Yeshwanthpur,2 Bedroom,585.0,1.0,70.0,2.0
Doddanekundi,3 BHK,2045.0,4.0,154.0,3.0
Bellandur,3 BHK,1490.0,2.0,98.0,3.0
Banaswadi,7 Bedroom,6150.0,6.0,830.0,7.0
Mysore Road,2 BHK,883.0,2.0,40.0,2.0
Yeshwanthpur,1 BHK,671.0,1.0,36.85,1.0
Kammasandra,2 BHK,1156.0,2.0,32.0,2.0
Haralur Road,3 BHK,2017.0,3.0,125.0,3.0
Thigalarapalya,4 BHK,3122.0,6.0,235.0,4.0
Ramagondanahalli,3 BHK,1635.0,3.0,62.0,3.0
Sir M V Nagar,7 Bedroom,4400.0,9.0,120.0,7.0
Kanakpura Road,2 BHK,1296.0,2.0,89.0,2.0
Bikasipura,6 Bedroom,2400.0,4.0,280.0,6.0
Budigere,2 BHK,1139.0,2.0,62.0,2.0
CV Raman Nagar,2 BHK,1230.0,3.0,47.0,2.0
Basaveshwara Nagar Yelahanka,1 BHK,581.91,2.0,25.0,1.0
Binny Pete,2 BHK,1245.0,2.0,86.28,2.0
Sidedahalli,3 Bedroom,1158.0,2.0,85.0,3.0
Marathahalli,4 BHK,3951.0,4.0,220.0,4.0
Electronic City,2 BHK,550.0,1.0,15.0,2.0
Ramamurthy Nagar,1 BHK,360.0,1.0,26.0,1.0
Electronics City Phase 1,3 BHK,1350.0,3.0,55.0,3.0
Green Glen Layout,3 BHK,1670.0,3.0,120.0,3.0
Akshaya Nagar,3 BHK,1600.0,2.0,65.0,3.0
Horamavu Banaswadi,2 BHK,1307.0,2.0,51.6,2.0
7th Phase JP Nagar,3 BHK,1050.0,2.0,57.0,3.0
Hennur Road,3 BHK,1703.0,3.0,101.0,3.0
Kaggalipura,3 BHK,1210.0,2.0,58.0,3.0
Electronic City,2 BHK,1025.0,2.0,29.6,2.0
Haralur Road,2 BHK,1140.0,2.0,43.0,2.0
7th Phase JP Nagar,3 BHK,1343.0,2.0,56.41,3.0
R.T. Nagar,3 BHK,1560.0,3.0,85.0,3.0
Kalkere,2 BHK,925.0,2.0,51.0,2.0
Kanakpura Road,3 BHK,1420.0,2.0,75.0,3.0
1st Block Koramangala,2 BHK,1415.0,2.0,110.0,2.0
Shree Ananth Nagar Layout,2 BHK,1210.0,2.0,60.0,2.0
Yeshwanthpur,3 BHK,1852.0,3.0,160.0,3.0
Hoskote,3 BHK,1250.0,3.0,50.0,3.0
9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2.0
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2.0
Jakkur,2 BHK,1100.0,2.0,53.35,2.0
Magadi Road,2 Bedroom,1350.0,1.0,100.0,2.0
Panathur,3 BHK,1546.0,3.0,99.0,3.0
Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2.0
Bellandur,3 BHK,1398.0,3.0,68.0,3.0
Indira Nagar,3 BHK,1650.0,3.0,200.0,3.0
HBR Layout,4 Bedroom,1200.0,4.0,120.0,4.0
Brookefield,3 BHK,1476.0,3.0,105.0,3.0
Attiguppe,2 Bedroom,500.0,2.0,70.0,2.0
Magadi Road,3 BHK,1322.0,2.0,58.82,3.0
Srirampuram,2 Bedroom,432.0,2.0,40.0,2.0
Yemlur,2 BHK,1100.0,2.0,55.0,2.0
Race Course Road,4 BHK,4750.0,5.0,600.0,4.0
Sarjapur,3 BHK,1285.0,2.0,68.0,3.0
Ambalipura,2 BHK,1150.0,2.0,80.0,2.0
Thanisandra,3 BHK,1430.0,2.0,56.0,3.0
Marathahalli,3 BHK,1350.0,2.0,62.0,3.0
Gkvk Layout,3 Bedroom,1350.0,3.0,195.0,3.0
Thubarahalli,2 BHK,1185.0,2.0,65.0,2.0
Bannerghatta Road,3 BHK,1760.0,3.0,67.0,3.0
Bank Of Baroda Colony,4 Bedroom,2400.0,5.0,350.0,4.0
Kanakpura Road,2 BHK,900.0,2.0,41.0,2.0
Kanakpura Road,2 BHK,1297.0,2.0,105.0,2.0
Sector 1 HSR Layout,3 BHK,1840.0,3.0,155.0,3.0
Ramamurthy Nagar,2 BHK,950.0,2.0,50.79,2.0
Chikkabanavar,5 Bedroom,1200.0,4.0,70.0,5.0
BTM 2nd Stage,2 BHK,950.0,2.0,52.0,2.0
Yeshwanthpur,2 BHK,1277.5,2.0,95.815,2.0
Electronic City,3 BHK,1571.0,3.0,89.0,3.0
Electronic City Phase II,2 BHK,1031.0,2.0,55.0,2.0
Whitefield,2 BHK,1485.0,2.0,90.0,2.0
Ananth Nagar,2 BHK,1109.0,2.0,60.0,2.0
Koramangala,3 BHK,2200.0,3.0,180.0,3.0
Whitefield,1 BHK,950.0,1.0,50.0,1.0
Laggere,3 Bedroom,1200.0,2.0,150.0,3.0
Hosa Road,2 BHK,1161.0,2.0,55.15,2.0
Basavangudi,3 BHK,2350.0,3.0,300.0,3.0
Electronic City Phase II,2 BHK,1003.0,2.0,40.6,2.0
Bank Of Baroda Colony,2 Bedroom,1350.0,2.0,185.0,2.0
9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2.0
Hulimavu,2 BHK,1255.0,2.0,73.0,2.0
Banaswadi,2 BHK,1250.0,2.0,60.0,2.0
Brookefield,4 Bedroom,1700.0,4.0,152.0,4.0
Ramamurthy Nagar,3 Bedroom,1200.0,2.0,66.0,3.0
St. John's Road,2 BHK,824.0,2.0,60.0,2.0
1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3.0
Bommasandra Industrial Area,3 BHK,1320.0,2.0,38.12,3.0
Kothanur,5 Bedroom,9600.0,5.0,550.0,5.0
Uttarahalli,3 BHK,1330.0,2.0,47.0,3.0
Kaikondrahalli,3 BHK,1220.0,3.0,56.0,3.0
Electronic City,3 BHK,1111.0,3.0,50.0,3.0
Kothannur,2 BHK,1197.0,2.0,47.88,2.0
Marathahalli,4 BHK,2519.0,5.0,185.0,4.0
Doopanahalli,3 BHK,1340.0,2.0,100.0,3.0
Old Madras Road,4 Bedroom,1450.0,3.0,132.0,4.0
Hoodi,3 BHK,1837.0,3.0,145.0,3.0
Haralur Road,4 Bedroom,1200.0,4.0,245.0,4.0
Kudlu Gate,2 BHK,1238.0,2.0,55.0,2.0
7th Phase JP Nagar,3 BHK,1405.0,2.0,59.01,3.0
Doddaballapur,4 BHK,1690.0,3.0,80.0,4.0
Sathanur,3 BHK,1620.0,2.0,110.0,3.0
Kanakpura Road,3 BHK,1673.0,3.0,115.0,3.0
Margondanahalli,2 Bedroom,1090.0,2.0,58.0,2.0
Varthur,2 BHK,1112.0,2.0,40.0,2.0
Marathahalli,3 BHK,1385.0,2.0,66.65,3.0
Electronic City Phase II,2 BHK,545.0,1.0,27.0,2.0
Subramanyapura,2 BHK,985.0,2.0,58.0,2.0
Kanakpura Road,1 BHK,825.0,1.0,36.29,1.0
Kanakpura Road,2 BHK,1080.0,2.0,37.8,2.0
Hosa Road,2 BHK,1430.0,2.0,97.52,2.0
Kengeri Satellite Town,2 BHK,1050.0,2.0,43.0,2.0
Kumaraswami Layout,4 Bedroom,2000.0,4.0,139.0,4.0
Banashankari Stage VI,4 Bedroom,4800.0,4.0,190.0,4.0
ITI Layout,3 BHK,1533.0,3.0,115.0,3.0
Ramamohanapuram,4 Bedroom,2800.0,3.0,500.0,4.0
Malleshwaram,3 BHK,2610.0,3.0,399.0,3.0
Lakshminarayana Pura,3 BHK,1750.0,3.0,150.0,3.0
TC Palaya,3 Bedroom,1200.0,2.0,66.0,3.0
Prithvi Layout,2 BHK,1352.0,2.0,87.5,2.0
Harlur,3 BHK,1754.0,3.0,125.0,3.0
Tejaswini Nagar,3 BHK,1560.0,3.0,85.0,3.0
Bannerghatta,4 BHK,3012.0,6.0,268.0,4.0
Whitefield,4 BHK,3584.0,4.0,199.0,4.0
Channasandra,3 BHK,1470.0,2.0,90.0,3.0
9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2.0
Whitefield,4 Bedroom,2400.0,5.0,329.0,4.0
Kammanahalli,2 BHK,1160.0,2.0,52.0,2.0
Jakkur,2 BHK,1100.0,2.0,52.0,2.0
Horamavu Agara,2 BHK,1170.0,2.0,38.0,2.0
Bannerghatta Road,1 BHK,595.0,1.0,31.83,1.0
HSR Layout,3 BHK,1650.0,3.0,110.0,3.0
1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3.0
Kamakshipalya,4 BHK,800.0,4.0,80.0,4.0
kanakapura road,3 BHK,1375.0,2.0,48.06,3.0
Ramagondanahalli,2 BHK,1235.0,2.0,46.8,2.0
Kaveri Nagar,1 BHK,750.0,1.0,25.0,1.0
7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3.0
Poorna Pragna Layout,3 BHK,1270.0,2.0,50.79,3.0
Bannerghatta Road,2 BHK,1105.0,2.0,51.0,2.0
Sundar Ram Shetty Nagar,3 BHK,1375.0,2.0,85.0,3.0
Attibele,4 Bedroom,2168.0,4.0,95.0,4.0
Gottigere,8 Bedroom,1200.0,8.0,90.0,8.0
Yelahanka,2 BHK,1065.0,2.0,40.84,2.0
Sector 6 HSR Layout,3 Bedroom,3800.0,3.0,580.0,3.0
Raja Rajeshwari Nagar,9 Bedroom,3125.0,9.0,350.0,9.0
Whitefield,1 BHK,825.0,1.0,45.0,1.0
Nelamangala,2 BHK,1095.0,2.0,40.0,2.0
Ganga Nagar,3 Bedroom,720.0,3.0,65.0,3.0
Udayapur Village,3 BHK,1440.0,2.0,60.33,3.0
Electronic City,2 BHK,870.0,2.0,39.5,2.0
Panathur,2 BHK,1195.0,2.0,84.0,2.0
"Kirloskar layout, Basaveshwarnagar",2 BHK,1200.0,2.0,49.5,2.0
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,61.2,3.0
Padmanabhanagar,3 BHK,1708.0,2.0,90.5,3.0
Alfa Garden Layout,2 BHK,975.0,2.0,43.0,2.0
KR Puram,2 BHK,750.0,2.0,25.0,2.0
Gowdanapalya,8 Bedroom,1200.0,8.0,190.0,8.0
Iblur Village,3 BHK,1920.0,3.0,130.0,3.0
Nagarbhavi,6 Bedroom,1200.0,5.0,240.0,6.0
Thanisandra,2 BHK,1183.0,2.0,58.56,2.0
Kothanur,4 Bedroom,1140.0,4.0,90.0,4.0
Mico Layout,3 BHK,1550.0,2.0,65.0,3.0
Kaggadasapura,2 BHK,1110.0,2.0,53.0,2.0
NS Palya,8 Bedroom,1500.0,10.0,165.0,8.0
Kaggadasapura,2 BHK,1105.0,2.0,38.67,2.0
Anekal,3 Bedroom,1800.0,3.0,68.0,3.0
2nd Phase JP Nagar,5 BHK,2800.0,4.0,200.0,5.0
Bommanahalli,2 BHK,1000.0,2.0,29.9,2.0
Prithvi Layout,2 BHK,1190.0,2.0,68.0,2.0
2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4.0
Hebbal,4 BHK,3067.0,4.0,230.0,4.0
Sarjapur  Road,3 BHK,1929.0,4.0,103.0,3.0
Ramamurthy Nagar,3 BHK,1525.0,3.0,100.0,3.0
Nehru Nagar,3 BHK,1775.0,3.0,110.0,3.0
Banashankari,2 BHK,1125.0,2.0,63.0,2.0
Hessarghatta,2 BHK,900.0,2.0,42.0,2.0
Sarjapur  Road,2 BHK,1155.0,2.0,58.0,2.0
Hulimavu,4 Bedroom,1200.0,4.0,75.0,4.0
Sonnenahalli,2 BHK,1268.0,2.0,73.0,2.0
Hoodi Layout,3 BHK,1500.0,3.0,88.0,3.0
Electronic City,1 BHK,630.0,1.0,47.0,1.0
Seegehalli,3 BHK,1525.0,3.0,65.0,3.0
Kaggadasapura,2 BHK,1060.0,2.0,48.0,2.0
Lingadheeranahalli,3 BHK,1687.0,3.0,127.0,3.0
Thanisandra,3 BHK,1847.0,3.0,123.0,3.0
Begur Road,3 BHK,1410.0,2.0,53.0,3.0
7th Phase JP Nagar,2 BHK,1075.0,2.0,42.99,2.0
Rajaji Nagar,4 BHK,3526.0,4.0,492.0,4.0
BTM Layout,3 Bedroom,3000.0,3.0,338.0,3.0
Basavangudi,3 BHK,1500.0,2.0,143.0,3.0
Gaundanapalya,2 BHK,1010.0,2.0,46.0,2.0
Haralur Road,3 BHK,1875.0,3.0,110.0,3.0
Arasanakunte,5 Bedroom,1200.0,6.0,137.0,5.0
Kanakpura Road,2 BHK,983.0,2.0,50.6,2.0
Kasturi Nagar,2 BHK,1101.0,2.0,65.0,2.0
Laxmi Sagar Layout,2 BHK,1140.0,2.0,76.0,2.0
Sarjapur  Road,2 BHK,1215.0,2.0,110.0,2.0
Kengeri Satellite Town,2 BHK,1007.0,2.0,42.0,2.0
Bellandur,3 BHK,2039.0,3.0,168.0,3.0
Ulsoor,3 BHK,1020.0,3.0,110.0,3.0
Outer Ring Road East,2 BHK,1198.0,2.0,84.0,2.0
5th block Koramangala,4 BHK,4000.0,4.0,520.0,4.0
Nelamangala,4 Bedroom,1470.0,4.0,34.5,4.0
JakkurYelahanka,2 BHK,1370.0,2.0,75.0,2.0
Yemlur,2 BHK,1316.0,2.0,55.5,2.0
Kaggadasapura,3 BHK,1350.0,3.0,55.5,3.0
Gunjur Palya,2 BHK,1050.0,2.0,43.0,2.0
KR Puram,3 BHK,1128.76,3.0,47.405,3.0
Electronic City,2 BHK,921.0,2.0,34.0,2.0
Kundalahalli,2 BHK,1010.0,2.0,49.27,2.0
KR Puram,2 BHK,1015.0,2.0,43.0,2.0
TC Palaya,3 Bedroom,1200.0,2.0,66.5,3.0
Lakshminarayana Pura,2 BHK,1179.0,2.0,75.0,2.0
Anjanapura,4 BHK,1850.0,4.0,86.0,4.0
Kammasandra,2 BHK,870.0,2.0,24.0,2.0
Bellandur,3 BHK,1605.0,3.0,85.0,3.0
Banashankari Stage VI,4 Bedroom,2800.0,4.0,89.0,4.0
Malleshwaram,3 BHK,2475.0,4.0,320.0,3.0
Ngef Layout,2 Bedroom,3000.0,2.0,510.0,2.0
Bileshivale,6 Bedroom,2400.0,7.0,110.0,6.0
2nd Phase JP Nagar,2 BHK,1000.0,1.0,55.0,2.0
Ramamurthy Nagar,2 Bedroom,1200.0,2.0,80.0,2.0
Manjunatha Layout,2 Bedroom,1200.0,2.0,125.0,2.0
Kammasandra,2 Bedroom,1200.0,2.0,66.0,2.0
Kashi Nagar,2 BHK,1200.0,2.0,50.0,2.0
Hennur,2 BHK,1255.0,2.0,57.5,2.0
Hosur Road,2 BHK,1085.0,2.0,30.38,2.0
Kanakpura Road,3 BHK,1592.0,3.0,125.0,3.0
B Narayanapura,2 BHK,1313.0,2.0,58.27,2.0
Kogilu,3 BHK,1934.0,3.0,150.0,3.0
Harlur,2 BHK,1200.0,2.0,49.5,2.0
Uttarahalli,6 BHK,3600.0,6.0,120.0,6.0
Old Madras Road,2 BHK,935.0,2.0,45.0,2.0
Bommasandra,2 BHK,877.0,2.0,30.0,2.0
Ashwathnagar,2 BHK,936.0,2.0,42.0,2.0
Nagasandra,3 BHK,1470.0,2.0,110.0,3.0
Upkar Layout,1 Bedroom,1050.0,1.0,70.0,1.0
Hennur Road,2 BHK,1232.0,2.0,69.61,2.0
Ambedkar Nagar,3 BHK,2225.0,4.0,169.0,3.0
Sunkadakatte,3 Bedroom,1200.0,2.0,80.0,3.0
Dasarahalli,3 BHK,1901.0,3.0,119.0,3.0
Sarjapur  Road,3 BHK,1819.0,3.0,100.0,3.0
HOSUR MAIN ROAD,3 BHK,1464.0,3.0,56.0,3.0
Old Madras Road,4 BHK,3715.0,6.0,200.5,4.0
9th Phase JP Nagar,4 BHK,5000.0,4.0,290.0,4.0
Someshwara Layout,4 BHK,1200.0,4.0,169.0,4.0
Kacharakanahalli,2 BHK,1256.0,2.0,60.0,2.0
7th Phase JP Nagar,2 BHK,1100.0,2.0,44.0,2.0
TC Palaya,4 Bedroom,4800.0,3.0,302.0,4.0
Kothanur,3 BHK,1435.0,3.0,70.0,3.0
6th Phase JP Nagar,4 BHK,3245.0,4.0,250.0,4.0
Sarjapur  Road,3 BHK,1845.0,4.0,110.0,3.0
Jigani,3 Bedroom,2400.0,4.0,130.0,3.0
HSR Layout,2 BHK,1140.0,2.0,46.0,2.0
Ulsoor,2 BHK,1200.0,2.0,60.0,2.0
Talaghattapura,3 BHK,2254.0,3.0,170.0,3.0
Frazer Town,3 BHK,1750.0,3.0,150.0,3.0
Jalahalli West,2 BHK,1020.0,2.0,37.0,2.0
Bommanahalli,1 BHK,515.0,1.0,25.0,1.0
Lingadheeranahalli,3 BHK,1893.0,3.0,140.0,3.0
Vasanth nagar,3 BHK,3025.0,3.0,500.0,3.0
Suddaguntepalya,2 BHK,830.0,2.0,34.0,2.0
Singasandra,2 Bedroom,600.0,2.0,36.5,2.0
Bisuvanahalli,3 BHK,1075.0,2.0,90.0,3.0
Kathreguppe,4 Bedroom,3200.0,4.0,1200.0,4.0
Kasavanhalli,2 BHK,1200.0,2.0,78.0,2.0
Sarjapur  Road,2 BHK,1233.0,2.0,77.65,2.0
Bannerghatta Road,2 BHK,1255.0,2.0,65.26,2.0
Begur Road,2 BHK,1200.0,2.0,37.8,2.0
Varthur,3 BHK,2145.0,3.0,175.0,3.0
1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5.0
Kothannur,2 BHK,740.0,2.0,34.0,2.0
Kengeri,3 BHK,1250.0,3.0,48.0,3.0
Channasandra Layout,2 BHK,1210.0,2.0,40.0,2.0
Sarjapur  Road,3 BHK,1525.0,2.0,60.0,3.0
Kogilu,1 Bedroom,540.0,1.0,36.0,1.0
Tumkur Road,3 BHK,1240.0,2.0,84.0,3.0
Subramanyapura,3 BHK,1245.0,2.0,68.0,3.0
HAL 3rd Stage,3 Bedroom,1865.0,3.0,350.0,3.0
Hosa Road,2 BHK,1104.0,2.0,36.43,2.0
Bisuvanahalli,3 BHK,1075.0,2.0,35.99,3.0
Nagavara,2 BHK,2200.0,2.0,55.0,2.0
Whitefield,2 BHK,1155.0,2.0,60.0,2.0
Doctors Layout,2 BHK,1520.0,2.0,62.0,2.0
Thigalarapalya,4 BHK,3122.0,6.0,245.0,4.0
Harlur,2 BHK,1290.0,2.0,85.0,2.0
1st Block HRBR Layout,3 BHK,2300.0,3.0,80.0,3.0
Kannamangala,4 Bedroom,3000.0,4.0,200.0,4.0
Austin Town,1 BHK,400.0,1.0,14.0,1.0
Banashankari,3 BHK,1340.0,2.0,53.6,3.0
Malleshwaram,2 BHK,900.0,2.0,95.0,2.0
Rajaji Nagar,6 Bedroom,1800.0,4.0,324.0,6.0
Hennur Road,2 BHK,987.0,2.0,49.0,2.0
Old Madras Road,3 BHK,1720.0,3.0,100.0,3.0
Hebbal,2 BHK,1040.0,2.0,50.0,2.0
Anandapura,2 Bedroom,900.0,2.0,64.0,2.0
Raja Rajeshwari Nagar,2 BHK,1030.0,2.0,50.0,2.0
Neeladri Nagar,3 BHK,2556.0,3.0,133.0,3.0
Basavangudi,3 BHK,1850.0,3.0,168.0,3.0
Kaval Byrasandra,4 Bedroom,750.0,4.0,110.0,4.0
Balagere,2 BHK,1028.0,2.0,31.86,2.0
7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2.0
Sahakara Nagar,3 BHK,1655.0,3.0,115.0,3.0
Electronics City Phase 1,2 BHK,940.0,2.0,40.0,2.0
Domlur,2 BHK,1050.0,2.0,85.0,2.0
Rajagopala Nagar,4 Bedroom,600.0,4.0,40.0,4.0
Vishwapriya Nagar,2 BHK,946.0,2.0,38.0,2.0
CV Raman Nagar,3 BHK,1726.0,3.0,145.0,3.0
Sarakki Nagar,3 BHK,2121.0,4.0,253.0,3.0
