location,size,total_sqft,bath,price,BHK,price_per_sqft
Kanakpura Road,3 BHK,1591.0,3.0,115.0,3.0,7228.158390949088
7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3.0,7142.857142857143
other,2 Bedroom,675.0,3.0,52.0,2.0,7703.703703703703
Hoodi,2 BHK,1055.0,2.0,57.63,2.0,5462.559241706161
Iblur Village,3 BHK,1918.0,3.0,129.0,3.0,6725.7559958289885
Sarjapur  Road,2 BHK,1280.0,2.0,76.0,2.0,5937.5
Talaghattapura,3 BHK,2106.0,3.0,126.0,3.0,5982.905982905983
other,3 BHK,1801.0,3.0,139.0,3.0,7717.934480843975
Hebbal,2 BHK,1320.0,2.0,92.0,2.0,6969.69696969697
Kalyan nagar,4 BHK,3800.0,5.0,300.0,4.0,7894.736842105263
Bannerghatta Road,3 BHK,1893.0,3.0,100.0,3.0,5282.620179609086
Chandapura,3 BHK,1107.0,2.0,43.0,3.0,3884.372177055104
Lakshminarayana Pura,2 BHK,1190.0,2.0,75.0,2.0,6302.5210084033615
other,2 Bedroom,2400.0,2.0,160.0,2.0,6666.666666666667
Kumaraswami Layout,2 BHK,1000.0,2.0,48.5,2.0,4850.0
Jalahalli,3 BHK,2113.0,3.0,155.0,3.0,7335.541883577851
KR Puram,2 BHK,1100.0,2.0,46.0,2.0,4181.818181818182
Kudlu,2 BHK,1027.0,2.0,43.0,2.0,4186.952288218111
other,2 BHK,1150.0,2.0,75.0,2.0,6521.739130434783
Kudlu Gate,1 BHK,703.0,1.0,52.0,1.0,7396.870554765292
Bellandur,2 BHK,1195.0,2.0,51.0,2.0,4267.782426778243
Narayanapura,2 BHK,1302.0,2.0,69.1,2.0,5307.219662058371
Begur Road,3 BHK,1583.0,3.0,74.4,3.0,4699.936828806065
Whitefield,4 BHK,3262.0,4.0,260.0,4.0,7970.570202329859
Electronic City,3 BHK,1600.0,3.0,104.0,3.0,6500.0
Old Airport Road,2 BHK,1150.0,2.0,90.0,2.0,7826.086956521739
Sarjapur  Road,2 BHK,1263.0,2.0,78.0,2.0,6175.771971496437
Kanakpura Road,2 BHK,1299.0,2.0,85.0,2.0,6543.4949961508855
Banashankari,2 BHK,1330.0,2.0,78.0,2.0,5864.661654135339
Bannerghatta Road,3 BHK,1600.0,3.0,95.0,3.0,5937.5
other,3 BHK,1390.0,2.0,80.0,3.0,5755.395683453237
other,3 BHK,1550.0,2.0,90.0,3.0,5806.451612903225
Hebbal,2 BHK,919.0,2.0,49.0,2.0,5331.882480957563
Gunjur,2 BHK,1195.0,2.0,44.0,2.0,3682.0083682008367
Yelenahalli,2 BHK,1159.0,2.0,60.0,2.0,5176.876617773944
Harlur,2 BHK,1197.0,2.0,79.0,2.0,6599.832915622389
Old Airport Road,4 BHK,2690.0,4.0,191.0,4.0,7100.371747211896
Bommasandra,3 BHK,1295.0,2.0,50.28,3.0,3882.6254826254826
Whitefield,2 BHK,1132.0,2.0,79.28,2.0,7003.533568904593
Hebbal,3 BHK,1645.0,3.0,135.0,3.0,8206.686930091186
Marathahalli,3 BHK,1937.0,3.0,140.0,3.0,7227.671657201859
Doddathoguru,2 BHK,1015.0,2.0,33.5,2.0,3300.4926108374384
Kathriguppe,3 BHK,1350.0,2.0,80.99,3.0,5999.259259259258
Kothanur,2 BHK,1185.0,2.0,59.0,2.0,4978.9029535864975
Domlur,3 BHK,1720.0,3.0,135.0,3.0,7848.837209302325
Hebbal,3 BHK,2080.0,3.0,175.0,3.0,8413.461538461539
Tindlu,3 Bedroom,1500.0,3.0,87.0,3.0,5800.0
Yelahanka,3 BHK,1566.0,3.0,97.0,3.0,6194.125159642401
other,4 Bedroom,1500.0,4.0,110.0,4.0,7333.333333333333
KR Puram,2 BHK,1290.0,2.0,49.02,2.0,3800.0
other,3 BHK,1839.0,3.0,165.0,3.0,8972.26753670473
Kaval Byrasandra,2 BHK,1100.0,2.0,46.0,2.0,4181.818181818182
Whitefield,4 BHK,2830.0,5.0,160.0,4.0,5653.710247349824
Uttarahalli,3 BHK,1315.0,2.0,74.0,3.0,5627.376425855513
Anandapura,2 BHK,1141.0,2.0,42.75,2.0,3746.713409290097
AECS Layout,2 BHK,1080.0,2.0,55.0,2.0,5092.592592592592
HBR Layout,2 BHK,1200.0,2.0,60.0,2.0,5000.0
Varthur,2 BHK,1111.0,2.0,41.88,2.0,3769.57695769577
NGR Layout,2 BHK,1022.0,2.0,45.9,2.0,4491.19373776908
Bannerghatta Road,2 BHK,1275.0,2.0,65.0,2.0,5098.0392156862745
other,2 BHK,900.0,2.0,70.0,2.0,7777.777777777777
Battarahalli,2 BHK,1135.0,2.0,43.0,2.0,3788.546255506608
Kudlu Gate,3 BHK,1535.0,3.0,86.0,3.0,5602.605863192182
Nagavarapalya,2 BHK,1392.0,2.0,130.0,2.0,9339.080459770115
Bellandur,2 BHK,1050.0,2.0,72.0,2.0,6857.142857142857
Hosa Road,3 BHK,1513.0,3.0,103.0,3.0,6807.666886979511
Gottigere,3 BHK,1621.0,3.0,72.0,3.0,4441.702652683529
Bannerghatta Road,2 BHK,892.0,2.0,39.0,2.0,4372.197309417041
Hebbal,3 BHK,1355.0,3.0,83.87,3.0,6189.667896678967
Kengeri,2 BHK,726.0,2.0,35.0,2.0,4820.936639118458
other,3 Bedroom,1500.0,3.0,149.0,3.0,9933.333333333334
Horamavu Agara,2 BHK,1079.0,2.0,41.0,2.0,3799.814643188137
Begur Road,2 BHK,1170.0,2.0,46.0,2.0,3931.623931623932
Doddathoguru,2 BHK,1104.0,2.0,39.0,2.0,3532.608695652174
Hormavu,4 Bedroom,4818.0,4.0,390.0,4.0,8094.64508094645
Kogilu,3 BHK,1559.0,3.0,127.0,3.0,8146.247594611931
Benson Town,3 BHK,1750.0,3.0,150.0,3.0,8571.42857142857
Ramagondanahalli,2 BHK,1215.0,2.0,45.5,2.0,3744.855967078189
Talaghattapura,3 BHK,1868.0,3.0,135.0,3.0,7226.980728051391
Sarjapur  Road,3 BHK,1691.0,3.0,98.0,3.0,5795.38734476641
Ardendale,5 Bedroom,4355.0,3.0,350.0,5.0,8036.739380022962
Hulimavu,2 BHK,1225.0,2.0,55.0,2.0,4489.7959183673465
JP Nagar,3 BHK,1690.0,3.0,112.0,3.0,6627.218934911242
Thigalarapalya,2 BHK,1418.0,2.0,103.0,2.0,7263.751763046544
Kasturi Nagar,4 BHK,1896.0,3.0,125.0,4.0,6592.827004219409
Sonnenahalli,1 BHK,605.0,1.0,40.0,1.0,6611.570247933884
Electronic City Phase II,2 BHK,900.0,2.0,32.5,2.0,3611.1111111111113
other,1 Bedroom,750.0,2.0,50.0,1.0,6666.666666666667
Ananth Nagar,2 BHK,908.0,2.0,26.0,2.0,2863.4361233480176
Thanisandra,4 BHK,3216.0,4.0,226.0,4.0,7027.363184079602
BEML Layout,5 Bedroom,2400.0,4.0,225.0,5.0,9375.0
Iblur Village,2 BHK,1400.0,2.0,68.0,2.0,4857.142857142857
Kudlu,2 BHK,1092.0,2.0,44.0,2.0,4029.304029304029
Hulimavu,2 BHK,1255.0,2.0,74.0,2.0,5896.414342629482
Electronic City,3 BHK,1500.0,2.0,100.0,3.0,6666.666666666667
Horamavu Banaswadi,2 BHK,925.0,2.0,38.0,2.0,4108.108108108108
Raja Rajeshwari Nagar,2 BHK,1023.0,2.0,42.0,2.0,4105.571847507332
Choodasandra,3 BHK,1530.0,3.0,77.0,3.0,5032.679738562091
other,3 BHK,1605.0,2.0,85.0,3.0,5295.95015576324
Hosakerehalli,2 BHK,1925.0,2.0,50.0,2.0,2597.4025974025976
Kogilu,2 BHK,1190.0,2.0,50.66,2.0,4257.142857142857
6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2.0,5701.754385964912
Green Glen Layout,3 BHK,1725.0,3.0,130.0,3.0,7536.231884057971
Bisuvanahalli,3 BHK,1075.0,2.0,50.0,3.0,4651.162790697675
Kannamangala,3 BHK,1574.0,3.0,93.34,3.0,5930.114358322745
Sanjay nagar,1 BHK,965.0,1.0,32.0,1.0,3316.062176165803
Kambipura,3 BHK,1082.0,2.0,55.0,3.0,5083.179297597043
Uttarahalli,3 BHK,1215.0,2.0,52.85,3.0,4349.794238683127
Hebbal,4 BHK,2483.0,5.0,230.0,4.0,9262.988320579943
Ardendale,4 BHK,3198.0,4.0,250.0,4.0,7817.385866166354
other,2 Bedroom,1200.0,2.0,70.0,2.0,5833.333333333333
Hebbal,3 BHK,2600.0,3.0,195.0,3.0,7500.0
Pai Layout,2 BHK,1255.0,2.0,80.0,2.0,6374.501992031873
other,3 BHK,1904.0,3.0,155.0,3.0,8140.756302521008
Somasundara Palya,2 BHK,1329.0,2.0,70.0,2.0,5267.11813393529
Chandapura,2 Bedroom,1200.0,2.0,60.0,2.0,5000.0
Murugeshpalya,3 BHK,2135.0,3.0,160.0,3.0,7494.145199063232
other,1 BHK,813.0,1.0,39.0,1.0,4797.047970479704
other,4 Bedroom,3884.0,4.0,240.0,4.0,6179.196704428425
Doddaballapur,3 Bedroom,3876.0,3.0,300.0,3.0,7739.938080495356
Kalena Agrahara,2 BHK,800.0,2.0,30.0,2.0,3750.0
Akshaya Nagar,3 BHK,1575.0,3.0,90.0,3.0,5714.285714285715
other,3 BHK,1630.0,2.0,97.78,3.0,5998.773006134969
NGR Layout,2 BHK,1020.0,2.0,48.45,2.0,4750.0
other,4 BHK,2425.0,4.0,173.0,4.0,7134.020618556701
Varthur,2 BHK,1097.0,2.0,33.82,2.0,3082.9535095715587
Raja Rajeshwari Nagar,2 BHK,1070.0,2.0,50.0,2.0,4672.897196261682
Kumaraswami Layout,2 BHK,1000.0,2.0,58.0,2.0,5800.0
Frazer Town,3 BHK,1900.0,4.0,145.0,3.0,7631.578947368421
Jigani,2 BHK,937.0,2.0,44.0,2.0,4695.837780149413
Green Glen Layout,2 BHK,1075.0,2.0,60.0,2.0,5581.395348837209
Panathur,2 BHK,1000.0,2.0,65.3,2.0,6530.0
other,2 BHK,1280.0,2.0,75.0,2.0,5859.375
Babusapalaya,2 BHK,1050.0,2.0,45.0,2.0,4285.714285714285
Marathahalli,2 BHK,1350.0,2.0,86.0,2.0,6370.37037037037
Mallasandra,2 BHK,1325.0,2.0,70.0,2.0,5283.018867924528
Hosur Road,3 BHK,1890.0,3.0,162.0,3.0,8571.42857142857
other,1 BHK,735.0,1.0,75.0,1.0,10204.081632653062
other,1 BHK,500.0,1.0,24.0,1.0,4800.0
Gottigere,3 BHK,1304.0,3.0,80.0,3.0,6134.969325153375
Yelahanka,3 BHK,1653.0,3.0,120.0,3.0,7259.528130671506
Bisuvanahalli,3 BHK,1075.0,2.0,52.0,3.0,4837.209302325581
7th Phase JP Nagar,2 BHK,1212.0,3.0,42.0,2.0,3465.3465346534654
Billekahalli,2 BHK,1140.0,2.0,50.0,2.0,4385.964912280701
other,2 Bedroom,1200.0,2.0,100.0,2.0,8333.333333333334
Kudlu Gate,3 BHK,1532.0,3.0,83.0,3.0,5417.754569190601
Doddaballapur,3 Bedroom,2776.0,4.0,195.0,3.0,7024.495677233429
Uttarahalli,2 BHK,1325.0,2.0,53.0,2.0,4000.0
Bannerghatta Road,2 BHK,1260.0,2.0,70.0,2.0,5555.555555555556
Vittasandra,2 BHK,1934.0,2.0,90.0,2.0,4653.567735263702
Malleshpalya,2 BHK,1060.0,2.0,40.0,2.0,3773.5849056603774
Kasavanhalli,3 BHK,1476.0,3.0,95.0,3.0,6436.314363143631
Murugeshpalya,2 BHK,1185.0,2.0,85.0,2.0,7172.995780590717
other,3 BHK,1265.0,2.0,82.0,3.0,6482.213438735178
EPIP Zone,2 BHK,1280.0,2.0,69.0,2.0,5390.625
Hulimavu,2 BHK,1175.0,2.0,45.0,2.0,3829.787234042553
other,3 BHK,1850.0,3.0,98.0,3.0,5297.2972972972975
Whitefield,2 BHK,1195.0,2.0,70.0,2.0,5857.740585774059
Ulsoor,3 BHK,2000.0,3.0,185.0,3.0,9250.0
Hosur Road,2 BHK,1180.0,2.0,36.5,2.0,3093.2203389830506
Jakkur,2 BHK,1050.0,2.0,49.87,2.0,4749.523809523809
other,4 Bedroom,2360.0,4.0,150.0,4.0,6355.932203389831
other,2 BHK,1030.0,2.0,77.25,2.0,7500.0
Subramanyapura,2 BHK,929.0,2.0,48.0,2.0,5166.846071044133
Green Glen Layout,3 BHK,1485.0,3.0,115.0,3.0,7744.107744107744
Electronics City Phase 1,3 BHK,1124.0,2.0,55.0,3.0,4893.238434163701
Hennur Road,3 BHK,1482.0,2.0,97.0,3.0,6545.209176788124
Sector 7 HSR Layout,2 BHK,1163.0,2.0,98.86,2.0,8500.42992261393
Jalahalli,3 BHK,1570.0,3.0,140.0,3.0,8917.197452229299
Whitefield,3 BHK,3480.0,4.0,284.0,3.0,8160.919540229885
Chandapura,1 BHK,520.0,1.0,14.04,1.0,2700.0
other,3 BHK,2000.0,3.0,160.0,3.0,8000.0
Prithvi Layout,2 BHK,1352.0,2.0,75.0,2.0,5547.337278106509
Electronic City,2 BHK,1152.0,2.0,65.0,2.0,5642.361111111111
other,3 BHK,1575.0,3.0,93.0,3.0,5904.761904761905
Hegde Nagar,3 BHK,1965.0,4.0,125.0,3.0,6361.323155216285
other,3 BHK,1300.0,2.0,70.0,3.0,5384.615384615385
Marathahalli,2 BHK,957.0,2.0,47.0,2.0,4911.180773249739
Hoskote,3 BHK,1740.0,3.0,60.0,3.0,3448.2758620689656
Neeladri Nagar,2 BHK,1060.0,2.0,35.0,2.0,3301.8867924528304
Ramamurthy Nagar,2 BHK,1150.0,2.0,51.0,2.0,4434.782608695652
Kanakapura,2 BHK,1151.0,2.0,59.0,2.0,5125.977410947003
Uttarahalli,3 BHK,1300.0,2.0,60.0,3.0,4615.384615384615
Garudachar Palya,2 BHK,1150.0,2.0,52.8,2.0,4591.304347826087
other,2 BHK,1380.0,2.0,75.0,2.0,5434.782608695652
Hebbal,3 BHK,1645.0,3.0,117.0,3.0,7112.462006079028
Babusapalaya,2 BHK,1141.0,2.0,45.9,2.0,4022.787028921998
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2.0,7021.276595744681
Banashankari Stage V,3 BHK,1355.0,2.0,61.0,3.0,4501.845018450184
Dasarahalli,2 BHK,1150.0,2.0,70.0,2.0,6086.95652173913
Balagere,2 BHK,1007.0,2.0,65.0,2.0,6454.816285998014
Kothanur,3 BHK,1436.0,3.0,70.0,3.0,4874.651810584958
Somasundara Palya,3 BHK,2372.0,3.0,140.0,3.0,5902.192242833053
Rayasandra,2 BHK,1016.0,2.0,58.0,2.0,5708.6614173228345
Dodda Nekkundi,2 BHK,1100.0,2.0,48.0,2.0,4363.636363636364
Electronic City,2 BHK,1070.0,2.0,60.0,2.0,5607.476635514019
Kadubeesanahalli,3 BHK,1532.0,3.0,115.0,3.0,7506.527415143603
Hennur,2 BHK,1040.0,2.0,42.12,2.0,4050.0
other,3 Bedroom,3100.0,3.0,250.0,3.0,8064.516129032258
Tumkur Road,2 BHK,1137.5,2.0,48.905,2.0,4299.340659340659
ITPL,4 BHK,3262.0,5.0,205.0,4.0,6284.488044144697
other,2 BHK,1190.0,2.0,100.0,2.0,8403.361344537816
other,3 BHK,1827.0,3.0,100.0,3.0,5473.453749315819
HRBR Layout,2 BHK,1210.0,2.0,75.0,2.0,6198.347107438017
other,3 BHK,1500.0,3.0,95.0,3.0,6333.333333333333
Hebbal,2 BHK,1251.0,2.0,88.73,2.0,7092.725819344524
HSR Layout,3 BHK,1600.0,2.0,115.0,3.0,7187.5
Electronic City,2 BHK,1128.0,2.0,65.5,2.0,5806.737588652482
Budigere,3 BHK,1820.0,3.0,93.0,3.0,5109.89010989011
Thigalarapalya,3 BHK,2072.0,4.0,159.0,3.0,7673.745173745174
Hoodi,3 BHK,1925.0,2.0,114.0,3.0,5922.077922077922
Hennur Road,3 Bedroom,2651.0,2.0,225.0,3.0,8487.36325914749
Kumaraswami Layout,2 BHK,1000.0,2.0,36.0,2.0,3600.0
KR Puram,3 Bedroom,1752.0,3.0,145.0,3.0,8276.255707762557
Sahakara Nagar,2 BHK,960.0,2.0,56.0,2.0,5833.333333333333
other,2 BHK,1180.0,2.0,63.0,2.0,5338.983050847458
Benson Town,3 BHK,2270.0,3.0,180.0,3.0,7929.515418502203
NRI Layout,2 Bedroom,650.0,2.0,59.0,2.0,9076.923076923076
Lakshminarayana Pura,2 BHK,1200.0,2.0,75.0,2.0,6250.0
Bisuvanahalli,3 BHK,1180.0,2.0,46.0,3.0,3898.3050847457625
Bannerghatta Road,2 BHK,1157.0,2.0,40.0,2.0,3457.216940363008
Banashankari Stage III,3 BHK,1305.0,2.0,59.0,3.0,4521.072796934866
Hegde Nagar,3 BHK,2006.0,4.0,196.0,3.0,9770.687936191423
Jakkur,2 BHK,1290.0,2.0,80.0,2.0,6201.550387596899
Hoskote,2 BHK,1170.0,2.0,45.0,2.0,3846.153846153846
Yelachenahalli,2 BHK,1400.0,2.0,78.0,2.0,5571.428571428572
Lakshminarayana Pura,2 BHK,1200.0,2.0,75.0,2.0,6250.0
other,3 BHK,1155.0,2.0,60.0,3.0,5194.805194805195
Hormavu,3 BHK,1725.0,3.0,85.0,3.0,4927.536231884058
Kanakpura Road,2 BHK,700.0,2.0,40.0,2.0,5714.285714285715
Hoodi,2 BHK,1112.0,2.0,88.0,2.0,7913.669064748202
Somasundara Palya,2 BHK,1178.0,2.0,78.0,2.0,6621.392190152801
Badavala Nagar,2 BHK,1274.0,2.0,81.0,2.0,6357.927786499216
Doddathoguru,2 BHK,915.0,2.0,32.0,2.0,3497.267759562841
Hosur Road,1 BHK,760.0,1.0,21.28,1.0,2800.0
other,3 BHK,1645.0,3.0,95.0,3.0,5775.075987841945
Yelenahalli,2 BHK,1056.0,2.0,33.0,2.0,3125.0
Raja Rajeshwari Nagar,8 Bedroom,4800.0,8.0,225.0,8.0,4687.5
other,2 BHK,1097.0,2.0,65.0,2.0,5925.250683682772
Uttarahalli,2 BHK,850.0,2.0,35.0,2.0,4117.64705882353
Green Glen Layout,3 BHK,1715.0,3.0,115.0,3.0,6705.539358600583
8th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2.0,3518.5185185185187
Kasavanhalli,2 BHK,1200.0,2.0,50.3,2.0,4191.666666666667
Banashankari,3 BHK,1400.0,2.0,78.0,3.0,5571.428571428572
Kanakpura Road,1 BHK,458.0,1.0,19.695,1.0,4300.218340611354
Marathahalli,2 BHK,1230.0,2.0,57.0,2.0,4634.146341463415
Kalyan nagar,3 BHK,1640.0,3.0,88.0,3.0,5365.8536585365855
Banashankari,3 BHK,1700.0,3.0,125.0,3.0,7352.941176470588
Banashankari,2 BHK,1020.0,2.0,40.79,2.0,3999.019607843137
Yelahanka,3 BHK,1275.0,2.0,95.0,3.0,7450.980392156863
Kanakapura,2 BHK,1110.0,2.0,38.85,2.0,3500.0
Uttarahalli,3 BHK,1627.86,3.0,88.0,3.0,5405.87028368533
Whitefield,4 Bedroom,3004.0,4.0,285.0,4.0,9487.350199733688
Hosa Road,2 BHK,1133.0,2.0,52.0,2.0,4589.585172109444
Hennur Road,2 BHK,1182.0,2.0,82.5,2.0,6979.6954314720815
Tumkur Road,3 BHK,1500.0,3.0,100.0,3.0,6666.666666666667
Hebbal Kempapura,4 BHK,3900.0,5.0,360.0,4.0,9230.76923076923
Marathahalli,2 BHK,1200.0,2.0,58.0,2.0,4833.333333333333
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,48.79,2.0,4325.354609929078
Amruthahalli,2 BHK,1100.0,2.0,45.0,2.0,4090.909090909091
Kengeri Satellite Town,2 BHK,635.0,1.0,22.0,2.0,3464.566929133858
Ardendale,4 BHK,2062.0,3.0,140.0,4.0,6789.524733268671
Thanisandra,3 BHK,1874.0,4.0,130.0,3.0,6937.033084311633
Old Madras Road,2 BHK,1171.0,2.0,75.0,2.0,6404.782237403928
Sarjapur,3 BHK,2020.0,3.0,85.0,3.0,4207.920792079208
8th Phase JP Nagar,2 BHK,1059.0,2.0,34.5,2.0,3257.790368271955
Jakkur,3 BHK,1760.0,3.0,110.0,3.0,6250.0
Hebbal,3 BHK,1645.0,3.0,121.0,3.0,7355.623100303951
Whitefield,2 BHK,1250.0,2.0,72.0,2.0,5760.0
Whitefield,1 BHK,709.0,1.0,34.385,1.0,4849.788434414669
Whitefield,2 BHK,1340.0,2.0,77.0,2.0,5746.268656716418
Cooke Town,3 BHK,2388.0,4.0,239.0,3.0,10008.375209380234
Hosa Road,2 BHK,1369.1,2.0,104.0,2.0,7596.231100723103
other,2 BHK,1355.0,2.0,75.0,2.0,5535.055350553505
Bannerghatta Road,2 BHK,1150.0,2.0,65.0,2.0,5652.173913043478
Kanakapura,3 BHK,1938.0,3.0,113.0,3.0,5830.7533539731685
Begur Road,4 BHK,2462.0,4.0,124.0,4.0,5036.555645816409
Budigere,3 BHK,1636.0,3.0,85.0,3.0,5195.59902200489
Akshaya Nagar,3 BHK,1430.0,2.0,75.0,3.0,5244.755244755244
Electronic City Phase II,3 BHK,993.0,2.0,50.0,3.0,5035.246727089628
Yelahanka,2 BHK,1270.0,2.0,78.0,2.0,6141.732283464567
Anjanapura,3 Bedroom,1500.0,3.0,121.0,3.0,8066.666666666667
Panathur,2 BHK,1109.0,2.0,63.0,2.0,5680.793507664563
Sarjapur,4 Bedroom,2885.0,3.0,185.0,4.0,6412.478336221837
Kothanur,3 BHK,1462.0,3.0,71.0,3.0,4856.361149110807
Marathahalli,1 BHK,607.0,1.0,35.0,1.0,5766.062602965404
Kammasandra,2 BHK,930.0,2.0,25.0,2.0,2688.1720430107525
Varthur,4 Bedroom,4500.0,5.0,300.0,4.0,6666.666666666667
Malleshwaram,3 BHK,2600.0,3.0,237.0,3.0,9115.384615384615
Electronic City Phase II,3 BHK,1418.0,3.0,52.47,3.0,3700.282087447109
EPIP Zone,2 BHK,1125.0,2.0,65.0,2.0,5777.777777777777
CV Raman Nagar,3 BHK,1825.0,3.0,126.0,3.0,6904.109589041096
Whitefield,2 BHK,1320.0,2.0,79.5,2.0,6022.727272727273
Whitefield,2 BHK,750.0,2.0,52.7,2.0,7026.666666666667
Yelahanka,3 BHK,1400.0,2.0,80.54,3.0,5752.857142857143
other,4 BHK,4104.0,4.0,360.0,4.0,8771.929824561403
Mahadevpura,5 Bedroom,3295.0,4.0,260.0,5.0,7890.743550834598
Whitefield,3 Bedroom,1200.0,3.0,61.96,3.0,5163.333333333333
Poorna Pragna Layout,2 BHK,965.0,2.0,48.0,2.0,4974.093264248705
Gottigere,1 Bedroom,812.0,1.0,26.0,1.0,3201.9704433497536
KR Puram,2 BHK,1100.0,2.0,43.0,2.0,3909.090909090909
HSR Layout,2 BHK,1145.0,2.0,48.0,2.0,4192.139737991266
Haralur Road,2 BHK,1027.0,2.0,44.0,2.0,4284.323271665044
Hegde Nagar,2 Bedroom,1200.0,2.0,75.0,2.0,6250.0
Kenchenahalli,2 BHK,1015.0,2.0,58.0,2.0,5714.285714285715
Kaggalipura,3 Bedroom,2400.0,3.0,165.0,3.0,6875.0
Whitefield,4 Bedroom,3000.0,4.0,306.0,4.0,10200.0
JP Nagar,2 BHK,1300.0,2.0,109.0,2.0,8384.615384615385
Hebbal Kempapura,2 BHK,1300.0,2.0,102.0,2.0,7846.153846153846
Hosa Road,3 BHK,1512.0,3.0,123.0,3.0,8134.920634920635
Bhoganhalli,3 BHK,1053.4,3.0,88.91,3.0,8440.288589329788
Yeshwanthpur,1 BHK,605.0,1.0,41.745,1.0,6899.999999999999
Hormavu,2 BHK,1153.0,2.0,65.0,2.0,5637.467476149176
other,2 Bedroom,2080.0,2.0,150.0,2.0,7211.538461538462
Hulimavu,2 BHK,1255.0,2.0,69.0,2.0,5498.00796812749
Marathahalli,3 BHK,1583.0,3.0,109.0,3.0,6885.6601389766265
other,2 BHK,1505.0,2.0,90.0,2.0,5980.066445182724
Kathriguppe,3 BHK,1365.0,2.0,75.08,3.0,5500.3663003663005
other,3 Bedroom,1200.0,3.0,95.75,3.0,7979.166666666667
other,3 BHK,1810.0,4.0,148.0,3.0,8176.795580110497
Magadi Road,1 Bedroom,440.0,1.0,35.0,1.0,7954.545454545455
Subramanyapura,2 BHK,975.0,2.0,63.0,2.0,6461.538461538462
other,3 BHK,1530.0,2.0,97.0,3.0,6339.869281045751
Channasandra,2 BHK,1115.0,2.0,40.0,2.0,3587.4439461883408
Sarjapur  Road,2 BHK,1308.0,2.0,83.0,2.0,6345.565749235474
Parappana Agrahara,2 BHK,1194.0,2.0,47.0,2.0,3936.348408710218
Sarjapur  Road,3 BHK,1592.0,3.0,91.0,3.0,5716.08040201005
Rajaji Nagar,2 BHK,1222.0,2.0,112.0,2.0,9165.30278232406
Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,42.85,2.0,3382.004735595896
Balagere,1 BHK,656.0,1.0,53.0,1.0,8079.268292682927
Garudachar Palya,4 BHK,4500.0,5.0,400.0,4.0,8888.888888888889
Chandapura,2 Bedroom,1200.0,1.0,36.0,2.0,3000.0
Thanisandra,3 BHK,1698.0,3.0,102.0,3.0,6007.067137809187
Electronic City,2 BHK,1152.0,2.0,65.75,2.0,5707.465277777777
Raja Rajeshwari Nagar,1 BHK,550.0,1.0,21.0,1.0,3818.181818181818
Pattandur Agrahara,2 BHK,900.0,2.0,42.0,2.0,4666.666666666667
Akshaya Nagar,3 BHK,1419.0,2.0,73.0,3.0,5144.46793516561
Amruthahalli,2 BHK,1200.0,2.0,55.0,2.0,4583.333333333333
Gottigere,2 BHK,990.0,2.0,40.0,2.0,4040.40404040404
Bannerghatta Road,2 BHK,1100.0,2.0,39.0,2.0,3545.454545454545
other,3 Bedroom,1500.0,2.0,130.0,3.0,8666.666666666666
Dasarahalli,7 Bedroom,2400.0,3.0,150.0,7.0,6250.0
Talaghattapura,3 BHK,1856.0,3.0,135.0,3.0,7273.706896551724
Sarjapur  Road,2 BHK,1150.0,2.0,77.0,2.0,6695.652173913043
Hennur Road,2 BHK,1036.0,2.0,59.46,2.0,5739.382239382239
Whitefield,4 Bedroom,3445.0,5.0,270.0,4.0,7837.44557329463
other,2 BHK,1400.0,2.0,80.0,2.0,5714.285714285715
Bommanahalli,2 BHK,1110.0,2.0,33.0,2.0,2972.972972972973
Kodichikkanahalli,2 BHK,1150.0,2.0,48.0,2.0,4173.913043478261
Kenchenahalli,1 BHK,715.0,1.0,45.0,1.0,6293.706293706294
Nagarbhavi,3 BHK,1400.0,2.0,85.0,3.0,6071.428571428572
Whitefield,3 BHK,1700.0,3.0,140.0,3.0,8235.29411764706
Kanakpura Road,3 BHK,1591.0,3.0,120.0,3.0,7542.42614707731
Nagarbhavi,3 BHK,1515.0,2.0,79.0,3.0,5214.521452145214
Marathahalli,5 Bedroom,2500.0,3.0,200.0,5.0,8000.0
other,3 BHK,1533.0,3.0,150.0,3.0,9784.735812133073
Banashankari Stage II,3 BHK,1500.0,2.0,120.0,3.0,8000.0
Begur Road,2 BHK,1160.0,2.0,42.92,2.0,3700.0
Chandapura,1 BHK,620.0,1.0,27.0,1.0,4354.83870967742
Whitefield,4 Bedroom,4827.0,4.0,400.0,4.0,8286.720530350114
Whitefield,2 BHK,1405.0,2.0,84.5,2.0,6014.234875444839
Gunjur,2 BHK,1190.0,2.0,40.0,2.0,3361.344537815126
Harlur,2 BHK,1174.0,2.0,78.0,2.0,6643.9522998296425
Seegehalli,2 Bedroom,1155.0,2.0,72.0,2.0,6233.766233766234
Thanisandra,3 BHK,1411.0,3.0,93.04,3.0,6593.905031892275
other,2 BHK,745.0,2.0,50.0,2.0,6711.4093959731545
Kereguddadahalli,2 BHK,1000.0,2.0,30.0,2.0,3000.0
Jigani,2 BHK,923.0,2.0,50.0,2.0,5417.118093174431
