location,total_sqft,bath,price,BHK,price_per_sqft
Kathriguppe,1350.0,2.0,87.01,3,6445.185185185185
Kasavanhalli,1719.0,3.0,116.0,3,6748.109365910413
Budigere,664.0,1.0,35.0,1,5271.084337349397
Sonnenahalli,1011.0,2.0,50.53,2,4998.021760633037
Yeshwanthpur,717.0,2.0,49.475,2,6900.278940027894
Whitefield,1520.0,2.0,150.0,3,9868.421052631578
Kothanur,1760.0,3.0,150.0,3,8522.727272727272
Pattandur Agrahara,875.0,2.0,33.0,2,3771.428571428572
Hennur,1231.0,2.0,48.0,2,3899.268887083672
Somasundara Palya,1174.0,2.0,74.0,2,6303.236797274276
Munnekollal,1560.0,3.0,75.0,3,4807.692307692308
Kanakpura Road,2200.0,3.0,130.0,3,5909.090909090909
Shivaji Nagar,850.0,2.0,55.0,2,6470.588235294118
other,1750.0,3.0,180.0,3,10285.714285714286
1st Phase JP Nagar,2024.0,3.0,157.0,3,7756.916996047431
other,1500.0,1.0,160.0,2,10666.666666666666
Kodihalli,2408.0,4.0,260.0,3,10797.34219269103
Indira Nagar,2070.0,3.0,225.0,3,10869.565217391304
Mahalakshmi Layout,1575.0,5.0,158.0,4,10031.746031746032
Kodichikkanahalli,3250.0,4.0,180.0,4,5538.461538461538
Uttarahalli,1175.0,2.0,47.0,2,4000.0
Channasandra,1030.0,2.0,34.5,2,3349.514563106796
Hebbal,1440.0,2.0,115.0,2,7986.111111111111
Hoodi,1500.0,2.0,84.0,2,5600.0
Thanisandra,1380.0,1.0,62.1,1,4500.0
other,705.0,1.0,36.5,1,5177.304964539007
Hegde Nagar,1584.01,3.0,103.0,3,6502.484201488627
other,1340.0,3.0,77.0,3,5746.268656716418
R.T. Nagar,1200.0,2.0,45.0,2,3750.0
Sarjapur  Road,685.0,1.0,40.0,1,5839.41605839416
Kodichikkanahalli,1125.0,2.0,52.0,2,4622.222222222223
Hebbal,1100.0,2.0,54.0,2,4909.090909090909
Jigani,2400.0,3.0,149.0,3,6208.333333333333
other,1260.0,1.0,41.0,1,3253.968253968254
Ambedkar Nagar,3530.0,4.0,290.0,4,8215.297450424929
HSR Layout,1185.0,2.0,60.0,2,5063.291139240507
Hennur,1255.0,2.0,58.0,2,4621.513944223108
Kudlu Gate,1335.0,3.0,89.0,3,6666.666666666667
Dodda Nekkundi,1999.0,3.0,132.0,3,6603.301650825412
other,1200.0,2.0,125.0,2,10416.666666666666
Kundalahalli,1397.0,3.0,110.0,3,7874.015748031496
Yelahanka New Town,1200.0,2.0,130.0,2,10833.333333333334
Chikka Tirupathi,1616.0,3.0,95.0,3,5878.712871287129
Raja Rajeshwari Nagar,1140.0,2.0,38.55,2,3381.578947368421
Kanakpura Road,525.0,1.0,30.0,1,5714.285714285715
Varthur,1200.0,2.0,98.0,3,8166.666666666667
Balagere,1205.47,2.0,81.0,2,6719.370867794304
other,1200.0,3.0,130.0,3,10833.333333333334
Electronic City,1700.0,3.0,75.0,3,4411.764705882353
Thanisandra,923.0,1.0,60.84,1,6591.549295774648
Green Glen Layout,1050.0,2.0,48.0,2,4571.428571428572
Whitefield,3250.0,5.0,290.0,5,8923.076923076924
Thanisandra,1743.0,3.0,93.25,3,5349.971313826735
Mysore Road,1512.0,2.0,110.0,3,7275.132275132275
Cox Town,1650.0,3.0,100.0,3,6060.606060606061
Sarjapura - Attibele Road,2400.0,3.0,85.0,3,3541.6666666666665
Hormavu,1141.0,2.0,44.4,2,3891.323400525855
Anandapura,1151.0,2.0,43.1,2,3744.569939183319
Bommenahalli,832.0,3.0,77.0,3,9254.807692307691
other,3259.0,3.0,270.0,3,8284.749923289353
Bannerghatta Road,1115.0,2.0,65.12,2,5840.358744394619
Kaggadasapura,1200.0,2.0,53.0,2,4416.666666666667
Singasandra,1300.0,2.0,65.0,2,5000.0
Bellandur,1457.0,2.0,85.0,2,5833.905284831846
Kannamangala,1262.0,2.0,55.0,2,4358.161648177496
Ananth Nagar,900.0,2.0,22.5,2,2500.0
Attibele,420.0,1.0,17.0,1,4047.619047619048
Kanakapura,1160.0,2.0,46.39,2,3999.137931034483
Kasavanhalli,1115.0,2.0,50.0,2,4484.304932735426
JP Nagar,1315.0,2.0,85.4,3,6494.296577946768
Babusapalaya,1500.0,2.0,57.0,2,3800.0
HSR Layout,1127.0,2.0,68.0,2,6033.717834960071
Kundalahalli,1397.0,3.0,104.0,3,7444.523979957051
Sompura,1090.0,2.0,28.0,2,2568.8073394495414
Jakkur,1230.0,2.0,76.0,2,6178.861788617886
other,3200.0,3.0,190.0,4,5937.5
Talaghattapura,1868.0,3.0,121.0,3,6477.516059957174
Uttarahalli,1689.28,3.0,91.2,3,5398.74976321273
Tindlu,1350.0,2.0,100.0,2,7407.407407407408
Channasandra,4200.0,6.0,180.0,6,4285.714285714285
Uttarahalli,1310.0,2.0,85.0,3,6488.5496183206105
Kundalahalli,1397.0,3.0,108.0,3,7730.851825340014
Sarjapur,1157.0,2.0,40.0,2,3457.216940363008
Kasavanhalli,1125.0,2.0,61.2,2,5440.0
Sonnenahalli,1157.0,2.0,42.0,2,3630.077787381158
Sarjapur  Road,1241.0,2.0,82.0,2,6607.57453666398
Binny Pete,660.0,1.0,62.0,1,9393.939393939394
Rajiv Nagar,2340.0,4.0,148.0,4,6324.786324786325
other,596.0,1.0,42.0,1,7046.979865771812
other,1200.0,4.0,110.0,4,9166.666666666666
other,1910.0,3.0,190.0,3,9947.643979057591
Brookefield,1139.0,2.0,80.0,2,7023.705004389815
Sarjapura - Attibele Road,1033.0,2.0,28.41,2,2750.242013552759
Chandapura,877.0,2.0,42.0,2,4789.053591790193
Electronics City Phase 1,1340.0,2.0,75.0,2,5597.014925373134
other,1750.0,3.0,149.0,3,8514.285714285714
other,985.0,2.0,63.0,2,6395.9390862944165
other,1300.0,2.0,129.0,2,9923.076923076924
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
other,1490.0,2.0,88.0,3,5906.040268456376
Hormavu,1130.0,2.0,42.3,2,3743.362831858407
Yelachenahalli,1080.0,2.0,55.0,2,5092.592592592592
Hennur Road,1290.0,2.0,94.5,3,7325.581395348837
Hosa Road,1318.0,2.0,85.28,3,6470.40971168437
Electronic City,1128.0,2.0,68.0,2,6028.368794326241
Yelahanka,1327.0,2.0,85.0,2,6405.42577241899
other,650.0,1.0,30.0,1,4615.384615384615
Varthur,1200.0,3.0,67.75,3,5645.833333333333
other,1500.0,2.0,89.99,3,5999.333333333333
other,1350.0,4.0,145.0,4,10740.74074074074
Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
Jakkur,1819.18,3.0,160.0,3,8795.17145087347
Hebbal,1355.0,3.0,83.87,3,6189.667896678967
Kaggadasapura,1118.0,2.0,30.0,2,2683.363148479428
other,910.0,1.0,42.0,1,4615.384615384615
Hosakerehalli,1304.0,2.0,100.0,2,7668.711656441717
CV Raman Nagar,1070.0,2.0,47.5,2,4439.252336448598
Hoodi,1132.0,2.0,89.37,2,7894.876325088339
Sector 2 HSR Layout,794.0,1.0,65.0,1,8186.39798488665
Raja Rajeshwari Nagar,1090.0,2.0,43.59,2,3999.08256880734
Gottigere,1500.0,3.0,70.0,3,4666.666666666667
1st Phase JP Nagar,2059.0,3.0,225.0,3,10927.634774162214
Kanakpura Road,525.0,1.0,30.0,1,5714.285714285715
Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
Whitefield,1269.0,2.0,75.0,2,5910.16548463357
Talaghattapura,1150.0,2.0,28.0,2,2434.782608695652
Marathahalli,1208.0,2.0,70.0,2,5794.701986754967
Ramamurthy Nagar,1185.0,2.0,45.5,2,3839.662447257384
Laggere,1200.0,3.0,130.0,3,10833.333333333334
Anekal,888.0,2.0,34.0,2,3828.828828828829
other,532.0,1.0,22.49,1,4227.443609022556
other,1060.0,3.0,62.0,3,5849.056603773585
Electronic City,700.0,1.0,35.0,1,5000.0
Uttarahalli,1175.0,2.0,47.0,2,4000.0
Binny Pete,1365.0,2.0,122.0,2,8937.728937728938
Doddathoguru,984.0,2.0,51.0,2,5182.926829268293
Jalahalli East,1475.0,3.0,96.0,3,6508.474576271186
Haralur Road,1300.0,2.0,79.0,2,6076.923076923077
other,1550.0,2.0,160.0,2,10322.58064516129
Akshaya Nagar,1666.0,3.0,95.0,3,5702.280912364946
Murugeshpalya,1845.0,3.0,91.0,3,4932.249322493225
Sarjapura - Attibele Road,1676.0,3.0,52.0,3,3102.625298329356
Uttarahalli,1137.0,2.0,63.0,2,5540.8970976253295
Electronic City,1360.0,2.0,70.5,3,5183.823529411765
other,1374.0,2.0,70.0,3,5094.614264919942
Judicial Layout,1700.0,3.0,155.0,3,9117.64705882353
Whitefield,3227.0,5.0,250.0,5,7747.133560582584
other,2145.0,4.0,125.0,4,5827.505827505827
Kasavanhalli,2170.0,3.0,151.0,3,6958.52534562212
other,1080.0,2.0,55.0,2,5092.592592592592
Electronic City Phase II,1790.0,3.0,100.0,3,5586.592178770949
Doddathoguru,550.0,1.0,17.0,1,3090.909090909091
Somasundara Palya,1033.0,2.0,48.0,2,4646.660212971927
other,1000.0,2.0,80.0,2,8000.0
Kambipura,883.0,2.0,39.0,2,4416.761041902605
other,1500.0,2.0,97.0,3,6466.666666666667
Marathahalli,1730.0,3.0,139.0,3,8034.682080924856
Whitefield,1545.0,3.0,79.0,3,5113.26860841424
other,1865.0,4.0,140.0,3,7506.702412868633
Hebbal Kempapura,1150.0,2.0,40.0,2,3478.260869565217
Kengeri,963.0,2.0,40.0,2,4153.686396677051
Marsur,1200.0,3.0,120.0,3,10000.0
Basavangudi,2600.0,4.0,260.0,4,10000.0
Kaikondrahalli,1700.0,4.0,108.0,4,6352.941176470588
Lingadheeranahalli,1682.0,3.0,120.0,3,7134.36385255648
Hennur Road,901.0,2.0,49.5,2,5493.895671476138
Ambalipura,1730.0,3.0,120.0,3,6936.416184971098
Konanakunte,1200.0,4.0,125.0,4,10416.666666666666
EPIP Zone,1500.0,3.0,102.0,3,6800.0
other,3500.0,4.0,245.0,4,7000.0
Horamavu Banaswadi,1357.0,2.0,54.0,2,3979.3662490788506
Yelahanka New Town,350.0,1.0,13.5,1,3857.142857142857
Sarjapur  Road,835.0,1.0,46.95,1,5622.754491017964
Haralur Road,1444.0,2.0,80.0,3,5540.16620498615
Kanakapura,1277.0,2.0,55.0,2,4306.969459671104
Lingadheeranahalli,1521.0,3.0,94.71,3,6226.824457593689
Vasanthapura,995.0,2.0,34.82,2,3499.497487437186
Marathahalli,1325.0,1.0,92.0,2,6943.396226415094
Kothanur,4000.0,6.0,150.0,6,3750.0
Marathahalli,1525.0,3.0,90.0,3,5901.639344262295
other,1320.0,2.0,73.0,3,5530.30303030303
Electronics City Phase 1,650.0,1.0,23.0,1,3538.4615384615386
Old Airport Road,1858.0,2.0,167.0,3,8988.15931108719
Electronic City Phase II,769.0,2.0,40.0,2,5201.560468140442
Electronic City,1571.0,3.0,105.0,3,6683.64099299809
Hennur Road,1445.0,3.0,86.56,3,5990.311418685121
Hosur Road,1590.0,2.0,135.0,3,8490.566037735849
Bommasandra,902.0,2.0,49.0,2,5432.372505543237
Sarjapur,2238.0,3.0,140.0,3,6255.585344057194
Haralur Road,1088.0,2.0,68.0,2,6250.0
other,2150.0,6.0,205.0,6,9534.883720930233
Kundalahalli,1920.0,3.0,150.0,3,7812.5
Margondanahalli,1000.0,2.0,57.0,2,5700.0
other,1100.0,2.0,56.1,2,5100.0
Horamavu Agara,1106.0,2.0,43.09,2,3896.021699819168
Thanisandra,923.0,1.0,45.69,1,4950.162513542795
Sarjapur  Road,2900.0,3.0,285.0,3,9827.586206896553
Lakshminarayana Pura,1175.0,2.0,75.0,2,6382.978723404255
Thubarahalli,975.0,2.0,55.0,2,5641.025641025641
Hebbal,2400.0,4.0,180.0,3,7500.0
Harlur,1758.0,3.0,133.0,3,7565.415244596132
Hebbal,1255.0,2.0,77.68,3,6189.641434262949
Pai Layout,1100.0,2.0,50.0,2,4545.454545454545
Ramamurthy Nagar,1170.0,2.0,46.8,2,4000.0
Hebbal,1420.0,2.0,107.0,2,7535.211267605634
Kanakpura Road,1591.0,3.0,115.0,3,7228.158390949088
7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
other,675.0,3.0,52.0,2,7703.703703703703
Hoodi,1055.0,2.0,57.63,2,5462.559241706161
Iblur Village,1918.0,3.0,129.0,3,6725.7559958289885
Sarjapur  Road,1280.0,2.0,76.0,2,5937.5
Talaghattapura,2106.0,3.0,126.0,3,5982.905982905983
other,1801.0,3.0,139.0,3,7717.934480843975
Seegehalli,1200.0,5.0,120.0,5,10000.0
Hebbal,1320.0,2.0,92.0,2,6969.69696969697
other,2990.0,4.0,324.0,4,10836.120401337792
Kalyan nagar,3800.0,5.0,300.0,4,7894.736842105263
Bannerghatta Road,1893.0,3.0,100.0,3,5282.620179609086
Chandapura,1107.0,2.0,43.0,3,3884.372177055104
Lakshminarayana Pura,1190.0,2.0,75.0,2,6302.5210084033615
other,2400.0,2.0,160.0,2,6666.666666666667
Kumaraswami Layout,1000.0,2.0,48.5,2,4850.0
Jalahalli,2113.0,3.0,155.0,3,7335.541883577851
KR Puram,1100.0,2.0,46.0,2,4181.818181818182
Kudlu,1027.0,2.0,43.0,2,4186.952288218111
other,1150.0,2.0,75.0,2,6521.739130434783
Kudlu Gate,703.0,1.0,52.0,1,7396.870554765292
Bellandur,1195.0,2.0,51.0,2,4267.782426778243
Narayanapura,1302.0,2.0,69.1,2,5307.219662058371
Begur Road,1583.0,3.0,74.4,3,4699.936828806065
Whitefield,3262.0,4.0,260.0,4,7970.570202329859
Electronic City,1600.0,3.0,104.0,3,6500.0
Old Airport Road,1150.0,2.0,90.0,2,7826.086956521739
Sarjapur  Road,1263.0,2.0,78.0,2,6175.771971496437
Kanakpura Road,1299.0,2.0,85.0,2,6543.4949961508855
Banashankari,1330.0,2.0,78.0,2,5864.661654135339
Bannerghatta Road,1600.0,3.0,95.0,3,5937.5
other,1390.0,2.0,80.0,3,5755.395683453237
other,1550.0,2.0,90.0,3,5806.451612903225
Hebbal,919.0,2.0,49.0,2,5331.882480957563
Gunjur,1195.0,2.0,44.0,2,3682.0083682008367
Yelenahalli,1159.0,2.0,60.0,2,5176.876617773944
Harlur,1197.0,2.0,79.0,2,6599.832915622389
Old Airport Road,2690.0,4.0,191.0,4,7100.371747211896
Bommasandra,1295.0,2.0,50.28,3,3882.6254826254826
Whitefield,1132.0,2.0,79.28,2,7003.533568904593
Hebbal,1645.0,3.0,135.0,3,8206.686930091186
Whitefield,3000.0,4.0,330.0,4,11000.0
Marathahalli,1937.0,3.0,140.0,3,7227.671657201859
Doddathoguru,1015.0,2.0,33.5,2,3300.4926108374384
Kathriguppe,1350.0,2.0,80.99,3,5999.259259259258
Kothanur,1185.0,2.0,59.0,2,4978.9029535864975
Domlur,1720.0,3.0,135.0,3,7848.837209302325
Hebbal,2080.0,3.0,175.0,3,8413.461538461539
Tindlu,1500.0,3.0,87.0,3,5800.0
Yelahanka,1566.0,3.0,97.0,3,6194.125159642401
other,1500.0,4.0,110.0,4,7333.333333333333
KR Puram,1290.0,2.0,49.02,2,3800.0
other,1839.0,3.0,165.0,3,8972.26753670473
Kaval Byrasandra,1100.0,2.0,46.0,2,4181.818181818182
Whitefield,2830.0,5.0,160.0,4,5653.710247349824
Uttarahalli,1315.0,2.0,74.0,3,5627.376425855513
Anandapura,1141.0,2.0,42.75,2,3746.713409290097
AECS Layout,1080.0,2.0,55.0,2,5092.592592592592
HBR Layout,1200.0,2.0,60.0,2,5000.0
Varthur,1111.0,2.0,41.88,2,3769.57695769577
NGR Layout,1022.0,2.0,45.9,2,4491.19373776908
Bannerghatta Road,1275.0,2.0,65.0,2,5098.0392156862745
other,900.0,2.0,70.0,2,7777.777777777777
Rachenahalli,1224.0,2.0,39.2,2,3202.614379084968
Battarahalli,1135.0,2.0,43.0,2,3788.546255506608
Rachenahalli,1050.0,2.0,52.1,2,4961.9047619047615
Kudlu Gate,1535.0,3.0,86.0,3,5602.605863192182
Nagavarapalya,1392.0,2.0,130.0,2,9339.080459770115
Bellandur,1050.0,2.0,72.0,2,6857.142857142857
Hosa Road,1513.0,3.0,103.0,3,6807.666886979511
Gottigere,1621.0,3.0,72.0,3,4441.702652683529
Bannerghatta Road,892.0,2.0,39.0,2,4372.197309417041
Hebbal,1355.0,3.0,83.87,3,6189.667896678967
Kengeri,726.0,2.0,35.0,2,4820.936639118458
other,1500.0,3.0,149.0,3,9933.333333333334
Hebbal,3895.0,4.0,405.0,4,10397.946084724004
Horamavu Agara,1079.0,2.0,41.0,2,3799.814643188137
Begur Road,1170.0,2.0,46.0,2,3931.623931623932
Doddathoguru,1104.0,2.0,39.0,2,3532.608695652174
Hormavu,4818.0,4.0,390.0,4,8094.64508094645
Kogilu,1559.0,3.0,127.0,3,8146.247594611931
Benson Town,1750.0,3.0,150.0,3,8571.42857142857
Ramagondanahalli,1215.0,2.0,45.5,2,3744.855967078189
Talaghattapura,1868.0,3.0,135.0,3,7226.980728051391
Sarjapur  Road,1691.0,3.0,98.0,3,5795.38734476641
Ardendale,4355.0,3.0,350.0,5,8036.739380022962
Hulimavu,1225.0,2.0,55.0,2,4489.7959183673465
JP Nagar,1690.0,3.0,112.0,3,6627.218934911242
Thigalarapalya,1418.0,2.0,103.0,2,7263.751763046544
Kasturi Nagar,1896.0,3.0,125.0,4,6592.827004219409
Sonnenahalli,605.0,1.0,40.0,1,6611.570247933884
Electronic City Phase II,900.0,2.0,32.5,2,3611.1111111111113
other,750.0,2.0,50.0,1,6666.666666666667
Hoodi,780.0,3.0,62.0,3,7948.717948717948
Ananth Nagar,908.0,2.0,26.0,2,2863.4361233480176
Thanisandra,3216.0,4.0,226.0,4,7027.363184079602
BEML Layout,2400.0,4.0,225.0,5,9375.0
Iblur Village,1400.0,2.0,68.0,2,4857.142857142857
Kudlu,1092.0,2.0,44.0,2,4029.304029304029
Hulimavu,1255.0,2.0,74.0,2,5896.414342629482
Electronic City,1500.0,2.0,100.0,3,6666.666666666667
Horamavu Banaswadi,925.0,2.0,38.0,2,4108.108108108108
Raja Rajeshwari Nagar,1023.0,2.0,42.0,2,4105.571847507332
Choodasandra,1530.0,3.0,77.0,3,5032.679738562091
other,1605.0,2.0,85.0,3,5295.95015576324
Hosakerehalli,1925.0,2.0,50.0,2,2597.4025974025976
Kogilu,1190.0,2.0,50.66,2,4257.142857142857
6th Phase JP Nagar,1140.0,2.0,65.0,2,5701.754385964912
Green Glen Layout,1725.0,3.0,130.0,3,7536.231884057971
Bisuvanahalli,1075.0,2.0,50.0,3,4651.162790697675
Kannamangala,1574.0,3.0,93.34,3,5930.114358322745
Sanjay nagar,965.0,1.0,32.0,1,3316.062176165803
Kambipura,1082.0,2.0,55.0,3,5083.179297597043
Uttarahalli,1215.0,2.0,52.85,3,4349.794238683127
Hebbal,2483.0,5.0,230.0,4,9262.988320579943
other,1500.0,1.0,19.5,1,1300.0
Ardendale,3198.0,4.0,250.0,4,7817.385866166354
other,1200.0,2.0,70.0,2,5833.333333333333
Hebbal,2600.0,3.0,195.0,3,7500.0
Pai Layout,1255.0,2.0,80.0,2,6374.501992031873
other,1904.0,3.0,155.0,3,8140.756302521008
Somasundara Palya,1329.0,2.0,70.0,2,5267.11813393529
Chandapura,1200.0,2.0,60.0,2,5000.0
Murugeshpalya,2135.0,3.0,160.0,3,7494.145199063232
other,813.0,1.0,39.0,1,4797.047970479704
other,3884.0,4.0,240.0,4,6179.196704428425
Doddaballapur,3876.0,3.0,300.0,3,7739.938080495356
Kalena Agrahara,800.0,2.0,30.0,2,3750.0
Akshaya Nagar,1575.0,3.0,90.0,3,5714.285714285715
other,1630.0,2.0,97.78,3,5998.773006134969
NGR Layout,1020.0,2.0,48.45,2,4750.0
other,2425.0,4.0,173.0,4,7134.020618556701
Varthur,1097.0,2.0,33.82,2,3082.9535095715587
Raja Rajeshwari Nagar,1070.0,2.0,50.0,2,4672.897196261682
Kumaraswami Layout,1000.0,2.0,58.0,2,5800.0
Jigani,937.0,2.0,44.0,2,4695.837780149413
Green Glen Layout,1075.0,2.0,60.0,2,5581.395348837209
Panathur,1000.0,2.0,65.3,2,6530.0
other,1280.0,2.0,75.0,2,5859.375
Babusapalaya,1050.0,2.0,45.0,2,4285.714285714285
Marathahalli,1350.0,2.0,86.0,2,6370.37037037037
Mallasandra,1325.0,2.0,70.0,2,5283.018867924528
Hosur Road,1890.0,3.0,162.0,3,8571.42857142857
other,735.0,1.0,75.0,1,10204.081632653062
other,500.0,1.0,24.0,1,4800.0
Gottigere,1304.0,3.0,80.0,3,6134.969325153375
Yelahanka,1653.0,3.0,120.0,3,7259.528130671506
Bisuvanahalli,1075.0,2.0,52.0,3,4837.209302325581
7th Phase JP Nagar,1212.0,3.0,42.0,2,3465.3465346534654
Billekahalli,1140.0,2.0,50.0,2,4385.964912280701
other,1200.0,2.0,100.0,2,8333.333333333334
Kudlu Gate,1532.0,3.0,83.0,3,5417.754569190601
Doddaballapur,2776.0,4.0,195.0,3,7024.495677233429
Uttarahalli,1325.0,2.0,53.0,2,4000.0
Bannerghatta Road,1260.0,2.0,70.0,2,5555.555555555556
Vittasandra,1934.0,2.0,90.0,2,4653.567735263702
Malleshpalya,1060.0,2.0,40.0,2,3773.5849056603774
Kasavanhalli,1476.0,3.0,95.0,3,6436.314363143631
Murugeshpalya,1185.0,2.0,85.0,2,7172.995780590717
other,1265.0,2.0,82.0,3,6482.213438735178
EPIP Zone,1280.0,2.0,69.0,2,5390.625
Hulimavu,1175.0,2.0,45.0,2,3829.787234042553
other,1850.0,3.0,98.0,3,5297.2972972972975
Whitefield,1195.0,2.0,70.0,2,5857.740585774059
Ulsoor,2000.0,3.0,185.0,3,9250.0
Hosur Road,1180.0,2.0,36.5,2,3093.2203389830506
Jakkur,1050.0,2.0,49.87,2,4749.523809523809
other,2360.0,4.0,150.0,4,6355.932203389831
other,1030.0,2.0,77.25,2,7500.0
Subramanyapura,929.0,2.0,48.0,2,5166.846071044133
Green Glen Layout,1485.0,3.0,115.0,3,7744.107744107744
Electronics City Phase 1,1124.0,2.0,55.0,3,4893.238434163701
Hennur Road,1482.0,2.0,97.0,3,6545.209176788124
Sector 7 HSR Layout,1163.0,2.0,98.86,2,8500.42992261393
Jalahalli,1570.0,3.0,140.0,3,8917.197452229299
Whitefield,3480.0,4.0,284.0,3,8160.919540229885
Chandapura,520.0,1.0,14.04,1,2700.0
other,2000.0,3.0,160.0,3,8000.0
Prithvi Layout,1352.0,2.0,75.0,2,5547.337278106509
Electronic City,1152.0,2.0,65.0,2,5642.361111111111
other,1575.0,3.0,93.0,3,5904.761904761905
Hegde Nagar,1965.0,4.0,125.0,3,6361.323155216285
other,1300.0,2.0,70.0,3,5384.615384615385
Marathahalli,957.0,2.0,47.0,2,4911.180773249739
Hoskote,1740.0,3.0,60.0,3,3448.2758620689656
Neeladri Nagar,1060.0,2.0,35.0,2,3301.8867924528304
other,975.0,2.0,50.0,2,5128.205128205128
Ramamurthy Nagar,1150.0,2.0,51.0,2,4434.782608695652
Kanakapura,1151.0,2.0,59.0,2,5125.977410947003
Uttarahalli,1300.0,2.0,60.0,3,4615.384615384615
Garudachar Palya,1150.0,2.0,52.8,2,4591.304347826087
other,1380.0,2.0,75.0,2,5434.782608695652
Hebbal,1645.0,3.0,117.0,3,7112.462006079028
Babusapalaya,1141.0,2.0,45.9,2,4022.787028921998
7th Phase JP Nagar,1175.0,2.0,82.5,2,7021.276595744681
Banashankari Stage V,1355.0,2.0,61.0,3,4501.845018450184
Dasarahalli,1150.0,2.0,70.0,2,6086.95652173913
Balagere,1007.0,2.0,65.0,2,6454.816285998014
Kothanur,1436.0,3.0,70.0,3,4874.651810584958
Somasundara Palya,2372.0,3.0,140.0,3,5902.192242833053
Rayasandra,1016.0,2.0,58.0,2,5708.6614173228345
Dodda Nekkundi,1100.0,2.0,48.0,2,4363.636363636364
Electronic City,1070.0,2.0,60.0,2,5607.476635514019
Kadubeesanahalli,1532.0,3.0,115.0,3,7506.527415143603
Hennur,1040.0,2.0,42.12,2,4050.0
other,3100.0,3.0,250.0,3,8064.516129032258
Tumkur Road,1137.5,2.0,48.905,2,4299.340659340659
ITPL,3262.0,5.0,205.0,4,6284.488044144697
other,1190.0,2.0,100.0,2,8403.361344537816
other,1827.0,3.0,100.0,3,5473.453749315819
HRBR Layout,1210.0,2.0,75.0,2,6198.347107438017
other,1500.0,3.0,95.0,3,6333.333333333333
Rachenahalli,1050.0,2.0,53.5,2,5095.238095238095
Hebbal,1251.0,2.0,88.73,2,7092.725819344524
HSR Layout,1600.0,2.0,115.0,3,7187.5
Electronic City,1128.0,2.0,65.5,2,5806.737588652482
Budigere,1820.0,3.0,93.0,3,5109.89010989011
Thigalarapalya,2072.0,4.0,159.0,3,7673.745173745174
Hoodi,1925.0,2.0,114.0,3,5922.077922077922
Hennur Road,2651.0,2.0,225.0,3,8487.36325914749
Kumaraswami Layout,1000.0,2.0,36.0,2,3600.0
KR Puram,1752.0,3.0,145.0,3,8276.255707762557
Sahakara Nagar,960.0,2.0,56.0,2,5833.333333333333
other,1180.0,2.0,63.0,2,5338.983050847458
Benson Town,2270.0,3.0,180.0,3,7929.515418502203
NRI Layout,650.0,2.0,59.0,2,9076.923076923076
Lakshminarayana Pura,1200.0,2.0,75.0,2,6250.0
Bisuvanahalli,1180.0,2.0,46.0,3,3898.3050847457625
Bannerghatta Road,1157.0,2.0,40.0,2,3457.216940363008
Banashankari Stage III,1305.0,2.0,59.0,3,4521.072796934866
Hegde Nagar,2006.0,4.0,196.0,3,9770.687936191423
Jakkur,1290.0,2.0,80.0,2,6201.550387596899
Hoskote,1170.0,2.0,45.0,2,3846.153846153846
Yelachenahalli,1400.0,2.0,78.0,2,5571.428571428572
Lakshminarayana Pura,1200.0,2.0,75.0,2,6250.0
other,1155.0,2.0,60.0,3,5194.805194805195
Hormavu,1725.0,3.0,85.0,3,4927.536231884058
Kanakpura Road,700.0,2.0,40.0,2,5714.285714285715
Hoodi,1112.0,2.0,88.0,2,7913.669064748202
Somasundara Palya,1178.0,2.0,78.0,2,6621.392190152801
Badavala Nagar,1274.0,2.0,81.0,2,6357.927786499216
Doddathoguru,915.0,2.0,32.0,2,3497.267759562841
Hosur Road,760.0,1.0,21.28,1,2800.0
other,1645.0,3.0,95.0,3,5775.075987841945
Yelenahalli,1056.0,2.0,33.0,2,3125.0
other,1097.0,2.0,65.0,2,5925.250683682772
Uttarahalli,850.0,2.0,35.0,2,4117.64705882353
Green Glen Layout,1715.0,3.0,115.0,3,6705.539358600583
8th Phase JP Nagar,1080.0,2.0,38.0,2,3518.5185185185187
Kasavanhalli,1200.0,2.0,50.3,2,4191.666666666667
Banashankari,1400.0,2.0,78.0,3,5571.428571428572
Kanakpura Road,458.0,1.0,19.695,1,4300.218340611354
Marathahalli,1230.0,2.0,57.0,2,4634.146341463415
Kalyan nagar,1640.0,3.0,88.0,3,5365.8536585365855
Banashankari,1700.0,3.0,125.0,3,7352.941176470588
Banashankari,1020.0,2.0,40.79,2,3999.019607843137
Yelahanka,1275.0,2.0,95.0,3,7450.980392156863
other,1600.0,3.0,165.0,4,10312.5
Kanakapura,1110.0,2.0,38.85,2,3500.0
Uttarahalli,1627.86,3.0,88.0,3,5405.87028368533
Whitefield,3004.0,4.0,285.0,4,9487.350199733688
Hosa Road,1133.0,2.0,52.0,2,4589.585172109444
Hennur Road,1182.0,2.0,82.5,2,6979.6954314720815
Tumkur Road,1500.0,3.0,100.0,3,6666.666666666667
Hebbal Kempapura,3900.0,5.0,360.0,4,9230.76923076923
Marathahalli,1200.0,2.0,58.0,2,4833.333333333333
